staff_index,staff_name,openalex_author_id_short,openalex_author_id_full,author_display_name,author_match_score,author_match_confidence,work_id,title,publication_year,publication_date,raw_author_name,author_position,is_corresponding,paper_confidence,paper_confidence_score,paper_confidence_reasons,paper_has_oxford_affiliation,paper_affiliation_score,paper_time_score,paper_name_score,doi,work_type,cited_by_count,language,is_oa,oa_status,oa_url,landing_page_url,pdf_url,source_id,source_name,source_type,source_is_oa,source_issn_l,volume,issue,first_page,last_page,institutions_distinct_count,countries_distinct_count,topics_json,primary_topic_json,snapshot_source
1,Shehab Abid,A5067198561,https://openalex.org/A5067198561,Shehab Abid,0.9,high,local:22741e2e5c0e166e,Association of multimorbidity and disease clusters with neuroimaging and cognitive outcomes in UK Biobank.,2025.0,2025-01-01,Shehab Abid,,,high,0.88,Bundled staff-profile publication; high person-level OpenAlex match; publication has DOI or year evidence.,,,,,,Journal article,0,,,,,https://www.ndph.ox.ac.uk/publications/2126961,,,J Prev Alzheimers Dis,Journal article,,,,,,,1,1,[],{},staff_recent_publications_json
1,Shehab Abid,A5067198561,https://openalex.org/A5067198561,Shehab Abid,0.9,high,local:fb93c104ea4c2b0a,Burden and Predictors of Statin Use for Primary and Secondary Prevention of Cardiovascular Disease in Bangladesh: Evidence from a Nationally Representative Survey.,2025.0,2025-01-01,Shehab Abid,,,high,0.88,Bundled staff-profile publication; high person-level OpenAlex match; publication has DOI or year evidence.,,,,,,Journal article,0,,,,,https://www.ndph.ox.ac.uk/publications/2094511,,,Glob Heart,Journal article,,,,,,,1,1,[],{},staff_recent_publications_json
1,Shehab Abid,A5067198561,https://openalex.org/A5067198561,Shehab Abid,0.9,high,local:f04e6069441d8e4e,Association of Metabolic Syndrome With Neuroimaging and Cognitive Outcomes in the UK Biobank.,2024.0,2024-01-01,Shehab Abid,,,high,0.88,Bundled staff-profile publication; high person-level OpenAlex match; publication has DOI or year evidence.,,,,,,Journal article,0,,,,,https://www.ndph.ox.ac.uk/publications/1997554,,,Diabetes Care,Journal article,,,,,,,1,1,[],{},staff_recent_publications_json
1,Shehab Abid,A5067198561,https://openalex.org/A5067198561,Shehab Abid,0.9,high,local:d2a14d221840df79,Assessment of ten-year cardiovascular disease risk in Bangladesh: A comparative analysis of laboratory and non-laboratory-based WHO risk prediction models,2024.0,2024-01-01,Shehab Abid,,,high,0.88,Bundled staff-profile publication; high person-level OpenAlex match; publication has DOI or year evidence.,,,,,,Preprint,0,,,,,https://www.ndph.ox.ac.uk/publications/2043837,,,,Preprint,,,,,,,1,1,[],{},staff_recent_publications_json
1,Shehab Abid,A5067198561,https://openalex.org/A5067198561,Shehab Abid,0.9,high,local:bb3d74aa19df0607,Salt intake across the hypertension care cascade in the Bangladeshi adult population: a nationally representative cross-sectional study.,2024.0,2024-01-01,Shehab Abid,,,high,0.88,Bundled staff-profile publication; high person-level OpenAlex match; publication has DOI or year evidence.,,,,,,Journal article,0,,,,,https://www.ndph.ox.ac.uk/publications/2043836,,,BMJ Open,Journal article,,,,,,,1,1,[],{},staff_recent_publications_json
4,Diego Aguilar Ramirez,A5069845060,https://openalex.org/A5069845060,Diego Aguilar Ramirez,0.9,high,local:8e5ecaf3abbde096,A Mendelian randomization study of the effect of body mass index on 52 causes of death among 125 000 Mexican adults with admixed ancestry.,2025.0,2025-01-01,Diego Aguilar Ramirez,,,high,0.88,Bundled staff-profile publication; high person-level OpenAlex match; publication has DOI or year evidence.,,,,,,Journal article,0,,,,,https://www.ndph.ox.ac.uk/publications/2127954,,,Int J Epidemiol,Journal article,,,,,,,1,1,[],{},staff_recent_publications_json
4,Diego Aguilar Ramirez,A5069845060,https://openalex.org/A5069845060,Diego Aguilar Ramirez,0.9,high,local:4a94cef26762b4b9,Type 2 diabetes and cause-specific mortality in Mexico City: a Mendelian randomisation analysis.,2025.0,2025-01-01,Diego Aguilar Ramirez,,,high,0.88,Bundled staff-profile publication; high person-level OpenAlex match; publication has DOI or year evidence.,,,,,,Journal article,0,,,,,https://www.ndph.ox.ac.uk/publications/2095268,,,Lancet Reg Health Am,Journal article,,,,,,,1,1,[],{},staff_recent_publications_json
4,Diego Aguilar Ramirez,A5069845060,https://openalex.org/A5069845060,Diego Aguilar Ramirez,0.9,high,local:bd171ba0f2dffa5d,Cognitive impairment at older ages among 8000 men and women living in Mexico City: a cross-sectional analyses of a prospective study.,2024.0,2024-01-01,Diego Aguilar Ramirez,,,high,0.88,Bundled staff-profile publication; high person-level OpenAlex match; publication has DOI or year evidence.,,,,,,Journal article,0,,,,,https://www.ndph.ox.ac.uk/publications/2073899,,,BMC Public Health,Journal article,,,,,,,1,1,[],{},staff_recent_publications_json
4,Diego Aguilar Ramirez,A5069845060,https://openalex.org/A5069845060,Diego Aguilar Ramirez,0.9,high,local:e546bc834fa52a35,Alcohol and mortality in Mexico: prospective study of 150 000 adults.,2024.0,2024-01-01,Diego Aguilar Ramirez,,,high,0.88,Bundled staff-profile publication; high person-level OpenAlex match; publication has DOI or year evidence.,,,,,,Journal article,0,,,,,https://www.ndph.ox.ac.uk/publications/2054759,,,Lancet Public Health,Journal article,,,,,,,1,1,[],{},staff_recent_publications_json
4,Diego Aguilar Ramirez,A5069845060,https://openalex.org/A5069845060,Diego Aguilar Ramirez,0.9,high,local:23d06e889286c34e,"Multinational evaluation of anthropometric age (AnthropoAge) as a measure of biological age in the USA, England, Mexico, Costa Rica, and China: a population-based longitudinal study",2024.0,2024-01-01,Diego Aguilar Ramirez,,,high,0.88,Bundled staff-profile publication; high person-level OpenAlex match; publication has DOI or year evidence.,,,,,,Preprint,0,,,,,https://www.ndph.ox.ac.uk/publications/2016502,,,,Preprint,,,,,,,1,1,[],{},staff_recent_publications_json
